Disease,Herbal_Remedy,Yoga_Asana,Pranayama
Fungal infection,"Neem paste, Turmeric paste","Suryanamaskar, Tadasana","Kapalbhati, Anulom Vilom"
Allergy,"Tulsi tea, Ginger decoction","Bhujangasana, Setu Bandhasana","Nadi Shodhana, Bhastrika"
GERD,"Aloe vera juice, Fennel seeds","Vajrasana, Pawanmuktasana","Deep breathing, Anulom Vilom"
Chronic cholestasis,"Dandelion root tea, Milk thistle","Ardha Matsyendrasana, Dhanurasana","Kapalbhati, Bhastrika"
Drug Reaction,"Aloe vera gel, Chamomile tea","Tadasana, Vrikshasana","Deep breathing, Nadi Shodhana"
Peptic ulcer diseae,"Licorice root tea, Slippery elm","Vajrasana, Shavasana","Anulom Vilom, Sheetali"
AIDS,"Ashwagandha, Giloy juice","Gentle yoga, Savasana","Nadi Shodhana, Bhramari"
Diabetes,"Bitter gourd juice, Fenugreek seeds","Suryanamaskar, Ardha Matsyendrasana","Kapalbhati, Anulom Vilom"
Gastroenteritis,"Ginger tea, Mint leaves","Pawanmuktasana, Shavasana","Deep breathing, Sheetali"
Bronchial Asthma,"Holy basil tea, Licorice tea","Bhujangasana, Setu Bandhasana","Nadi Shodhana, Bhastrika"
Hypertension,"Arjuna bark tea, Hibiscus tea","Shavasana, Vajrasana","Anulom Vilom, Bhramari"
Migraine,"Peppermint tea, Ginger paste","Shavasana, Balasana","Sheetali, Bhramari"
Cervical spondylosis,"Turmeric milk, Ginger compress","Cat-Cow Pose, Bhujangasana","Deep breathing, Anulom Vilom"
viral fever,"Tulsi tea, Ginger decoction","Restorative yoga, Shavasana","Kapalbhati, Anulom Vilom"
Jaundice,"Dandelion tea, Lemon water","Pawanmuktasana, Ardha Matsyendrasana","Kapalbhati, Deep breathing"
Malaria,"Neem tea, Papaya leaf juice","Restorative yoga, Shavasana","Anulom Vilom, Bhastrika"
Chicken pox,"Neem bath, Turmeric paste","Gentle stretching, Shavasana","Deep breathing, Bhramari"
Dengue,"Papaya leaf juice, Giloy juice","Restorative yoga, Shavasana","Deep breathing, Anulom Vilom"
Typhoid,"Basil leaves, Garlic decoction","Restorative yoga, Shavasana","Kapalbhati, Deep breathing"
hepatitis A,"Milk thistle, Dandelion tea","Pawanmuktasana, Dhanurasana","Kapalbhati, Anulom Vilom"
Hepatitis B,"Licorice root tea, Milk thistle","Ardha Matsyendrasana, Shavasana","Deep breathing, Bhastrika"
Hepatitis C,"Dandelion root tea, Turmeric","Pawanmuktasana, Dhanurasana","Kapalbhati, Anulom Vilom"
Hepatitis D,"Milk thistle, Aloe vera juice","Ardha Matsyendrasana, Shavasana","Deep breathing, Bhastrika"
Hepatitis E,"Dandelion tea, Lemon water","Pawanmuktasana, Shavasana","Kapalbhati, Deep breathing"
Alcoholic hepatitis,"Milk thistle, Turmeric milk","Ardha Matsyendrasana, Dhanurasana","Kapalbhati, Anulom Vilom"
Tuberculosis,"Tulsi tea, Ashwagandha","Gentle yoga, Shavasana","Nadi Shodhana, Bhastrika"
Common Cold,"Ginger tea, Honey with turmeric","Suryanamaskar, Bhujangasana","Anulom Vilom, Bhastrika"
Pneumonia,"Tulsi tea, Ginger decoction","Gentle yoga, Shavasana","Nadi Shodhana, Bhastrika"
Dimorphic hemmorhoids(piles),"Triphala powder, Aloe vera juice","Pawanmuktasana, Malasana","Deep breathing, Anulom Vilom"
Heart attack,"Arjuna bark tea, Garlic","Gentle yoga, Shavasana","Anulom Vilom, Bhramari"
Varicose veins,"Horse chestnut extract, Ginger tea","Tadasana, Vrikshasana","Deep breathing, Anulom Vilom"
Hypothyroidism,"Ashwagandha, Guggul","Suryanamaskar, Sarvangasana","Kapalbhati, Ujjayi"
Hyperthyroidism,"Bugleweed tea, Lemon balm","Shavasana, Balasana","Sheetali, Bhramari"
Hypoglycemia,"Cinnamon tea, Fenugreek seeds","Suryanamaskar, Vajrasana","Anulom Vilom, Deep breathing"
Osteoarthristis,"Turmeric milk, Ginger compress","Tadasana, Vrikshasana","Deep breathing, Anulom Vilom"
Arthritis,"Turmeric paste, Boswellia","Cat-Cow Pose, Vrikshasana","Kapalbhati, Anulom Vilom"
(vertigo) Paroymsal Positional Vertigo,"Ginger tea, Ginkgo biloba","Shavasana, Balasana","Anulom Vilom, Bhramari"
Acne,"Neem paste, Turmeric face mask","Suryanamaskar, Tadasana","Kapalbhati, Anulom Vilom"
Urinary tract infection,"Cranberry juice, Coriander seeds","Pawanmuktasana, Shavasana","Deep breathing, Anulom Vilom"
Psoriasis,"Aloe vera gel, Turmeric paste","Suryanamaskar, Tadasana","Kapalbhati, Anulom Vilom"
Impetigo,"Neem paste, Honey","Gentle stretching, Shavasana","Deep breathing, Anulom Vilom"
